Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.359488010,.000,0.0,0.0
2024-11-17 11:03:08.359488020,.833,0.0,0.0
2024-11-17 11:03:08.359488031,.666,0.0,0.0
2024-11-17 11:03:08.359488042,.499,0.0,0.0
2024-11-17 11:03:08.359488053,.332,0.0,0.0
2024-11-17 11:03:08.359488064,.165,0.0,0.0
2024-11-17 11:03:08.359488074,.998,0.0,0.0
2024-11-17 11:03:08.359488085,.831,0.0,0.0
2024-11-17 11:03:08.359488096,.664,0.0,0.0
2024-11-17 11:03:08.359488107,.497,0.0,0.0
2024-11-17 11:03:08.359488118,.330,0.0,0.0
2024-11-17 11:03:08.359488129,.163,0.0,0.0
2024-11-17 11:03:08.359488139,.996,0.0,0.0
2024-11-17 11:03:08.359488150,.829,0.0,0.0
2024-11-17 11:03:08.359488161,.662,0.0,0.0
2024-11-17 11:03:08.359488172,.495,0.0,0.0
2024-11-17 11:03:08.359488183,.328,0.0,0.0
2024-11-17 11:03:08.359488194,.161,0.0,0.0
2024-11-17 11:03:08.359488204,.994,0.0,0.0
2024-11-17 11:03:08.359488215,.827,0.0,0.0
2024-11-17 11:03:08.359488226,.660,0.0,0.0
2024-11-17 11:03:08.359488237,.493,0.0,0.0
2024-11-17 11:03:08.359488248,.326,0.0,0.0
2024-11-17 11:03:08.359488259,.159,0.0,0.0
2024-11-17 11:03:08.359488269,.992,0.0,0.0
2024-11-17 11:03:08.359488280,.825,0.0,0.0
2024-11-17 11:03:08.359488291,.658,0.0,0.0
2024-11-17 11:03:08.359488302,.491,0.0,0.0
2024-11-17 11:03:08.359488313,.324,0.0,0.0
2024-11-17 11:03:08.359488324,.157,0.0,0.0
2024-11-17 11:03:08.359488334,.990,0.0,0.0
2024-11-17 11:03:08.359488345,.823,0.0,0.0
2024-11-17 11:03:08.359488356,.656,0.0,0.0
2024-11-17 11:03:08.359488367,.489,0.0,0.0
2024-11-17 11:03:08.359488378,.322,0.0,0.0
2024-11-17 11:03:08.359488389,.155,0.0,0.0
2024-11-17 11:03:08.359488399,.988,0.0,0.0
2024-11-17 11:03:08.359488410,.821,0.0,0.0
2024-11-17 11:03:08.359488421,.654,0.0,0.0
2024-11-17 11:03:08.359488432,.487,0.0,0.0
2024-11-17 11:03:08.359488443,.320,0.0,0.0
2024-11-17 11:03:08.359488454,.153,0.0,0.0
2024-11-17 11:03:08.359488464,.986,0.0,0.0
2024-11-17 11:03:08.359488475,.819,0.0,0.0
